species	1349648
genus	90882
subspecies	24523
varietas	8499
strain	3486
subgenus	1558
isolate	809
forma	560
section	437
species group	251
forma specialis	220
species subgroup	101
subsection	21
genotype	12
morph	12
biotype	10
series	9
subvariety	5
